, auto_rpm = 419.672, auto_npackets = 108, prev_frac_packet = 0.100094
, auto_rpm = 420.72, auto_npackets = 107, prev_frac_packet = 0.56155
, auto_rpm = 419.868, auto_npackets = 108, prev_frac_packet = 0.241267
, auto_rpm = 419.417, auto_npackets = 108, prev_frac_packet = 0.0366349
, auto_rpm = 421.141, auto_npackets = 107, prev_frac_packet = 0.390661
, auto_rpm = 419.121, auto_npackets = 108, prev_frac_packet = 0.262103
, auto_rpm = 419.486, auto_npackets = 108, prev_frac_packet = 0.039747
, auto_rpm = 420.023, auto_npackets = 107, prev_frac_packet = 0.679558
, auto_rpm = 420.04, auto_npackets = 108, prev_frac_packet = 0.314974
, auto_rpm = 421.061, auto_npackets = 107, prev_frac_packet = 0.689491
, auto_rpm = 420.601, auto_npackets = 108, prev_frac_packet = 0.181469
, auto_rpm = 420.797, auto_npackets = 107, prev_frac_packet = 0.623319
, auto_rpm = 421.15, auto_npackets = 107, prev_frac_packet = 0.975139
, auto_rpm = 420.709, auto_npackets = 108, prev_frac_packet = 0.439561
, auto_rpm = 420.794, auto_npackets = 107, prev_frac_packet = 0.882173
, auto_rpm = 419.815, auto_npackets = 108, prev_frac_packet = 0.575385
, auto_rpm = 420.103, auto_npackets = 108, prev_frac_packet = 0.194764
, auto_rpm = 420.083, auto_npackets = 107, prev_frac_packet = 0.819308
, auto_rpm = 419.018, auto_npackets = 108, prev_frac_packet = 0.717244
, auto_rpm = 420.639, auto_npackets = 108, prev_frac_packet = 0.199487
, auto_rpm = 419.682, auto_npackets = 107, prev_frac_packet = 0.926859
, auto_rpm = 419.846, auto_npackets = 108, prev_frac_packet = 0.612165
, auto_rpm = 420.07, auto_npackets = 108, prev_frac_packet = 0.239879
, auto_rpm = 420.404, auto_npackets = 107, prev_frac_packet = 0.782148
, auto_rpm = 420.826, auto_npackets = 108, prev_frac_packet = 0.216646
, auto_rpm = 420.174, auto_npackets = 107, prev_frac_packet = 0.81786
, auto_rpm = 420.246, auto_npackets = 108, prev_frac_packet = 0.400545
, auto_rpm = 421.439, auto_npackets = 107, prev_frac_packet = 0.678769
, auto_rpm = 420.372, auto_npackets = 108, prev_frac_packet = 0.229179
, auto_rpm = 420.014, auto_npackets = 107, prev_frac_packet = 0.871347
, auto_rpm = 419.483, auto_npackets = 108, prev_frac_packet = 0.649905
, auto_rpm = 419.896, auto_npackets = 108, prev_frac_packet = 0.322403
, auto_rpm = 419.463, auto_npackets = 108, prev_frac_packet = 0.105874
, auto_rpm = 419.75, auto_npackets = 107, prev_frac_packet = 0.815681
, auto_rpm = 420.044, auto_npackets = 108, prev_frac_packet = 0.450218
, auto_rpm = 419.76, auto_npackets = 108, prev_frac_packet = 0.157654
, auto_rpm = 420.106, auto_npackets = 107, prev_frac_packet = 0.776279
, auto_rpm = 419.711, auto_npackets = 108, prev_frac_packet = 0.496243
, auto_rpm = 420.039, auto_npackets = 108, prev_frac_packet = 0.132091
, auto_rpm = 420.53, auto_npackets = 107, prev_frac_packet = 0.64219
, auto_rpm = 420.528, auto_npackets = 108, prev_frac_packet = 0.152738
, auto_rpm = 420.765, auto_npackets = 107, prev_frac_packet = 0.602927
, auto_rpm = 420.169, auto_npackets = 108, prev_frac_packet = 0.205465
, auto_rpm = 420.797, auto_npackets = 107, prev_frac_packet = 0.647456
, auto_rpm = 419.506, auto_npackets = 108, prev_frac_packet = 0.419945
, auto_rpm = 420.019, auto_npackets = 108, prev_frac_packet = 0.0607269
, auto_rpm = 420.228, auto_npackets = 107, prev_frac_packet = 0.64808
, auto_rpm = 418.792, auto_npackets = 108, prev_frac_packet = 0.60424
, auto_rpm = 418.834, auto_npackets = 108, prev_frac_packet = 0.549669
, auto_rpm = 420.151, auto_npackets = 108, prev_frac_packet = 0.156666
, auto_rpm = 420.243, auto_npackets = 107, prev_frac_packet = 0.740223
, auto_rpm = 419.852, auto_npackets = 108, prev_frac_packet = 0.423993
, auto_rpm = 420.108, auto_npackets = 108, prev_frac_packet = 0.0421767
, auto_rpm = 420.021, auto_npackets = 107, prev_frac_packet = 0.682489
, auto_rpm = 419.46, auto_npackets = 108, prev_frac_packet = 0.466947
, auto_rpm = 420.469, auto_npackets = 107, prev_frac_packet = 0.992762
, auto_rpm = 420.257, auto_npackets = 108, prev_frac_packet = 0.572631
, auto_rpm = 419.531, auto_npackets = 108, prev_frac_packet = 0.33871
, auto_rpm = 419.86, auto_npackets = 108, prev_frac_packet = 0.0204664
, auto_rpm = 420.786, auto_npackets = 107, prev_frac_packet = 0.4651
, auto_rpm = 419.036, auto_npackets = 108, prev_frac_packet = 0.358598
, auto_rpm = 419.476, auto_npackets = 108, prev_frac_packet = 0.13897
, auto_rpm = 419.516, auto_npackets = 107, prev_frac_packet = 0.909014
, auto_rpm = 420.035, auto_npackets = 108, prev_frac_packet = 0.545909
, auto_rpm = 419.97, auto_npackets = 108, prev_frac_packet = 0.199283
, auto_rpm = 420.158, auto_npackets = 107, prev_frac_packet = 0.804603
, auto_rpm = 420.428, auto_npackets = 108, prev_frac_packet = 0.340788
